location_x,location_y,power_of_shot,knockout_match,game_season,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,date_of_game,home/away,shot_id_number,lat/lng,type_of_shot,match_id,remaining_time
-67.0,0.0,1.0,0.0,2000-01,26.0,1.0,Left Side(L),Goal Line,8-16 ft.,01-11-2000,MANU vs. UTA,13.0,"42.982923, -71.446094",shot - 44,20000019,7.15
-94.0,4.0,1.0,0.0,2000-01,29.0,0.0,Left Side(L),Mid Range,8-16 ft.,01-11-2000,MANU vs. UTA,14.0,"42.982923, -71.446094",shot - 3,20000019,2.7333333333333334
-23.0,47.0,1.0,0.0,2000-01,25.0,0.0,Center(C),Goal Line,Less Than 8 ft.,01-11-2000,MANU vs. UTA,15.0,"42.982923, -71.446094",shot - 12,20000019,1.2666666666666666
0.0,192.0,1.0,0.0,2000-01,40.0,0.0,Center(C),Mid Range,16-24 ft.,01-11-2000,MANU vs. UTA,16.0,"42.982923, -71.446094",shot - 3,20000019,1.1797600000000001
-117.0,226.0,2.0,0.0,2000-01,45.0,1.0,Left Side Center(LC),Penalty Spot,24+ ft.,01-11-2000,MANU vs. UTA,18.0,"42.982923, -71.446094",shot - 6,20000019,8.833333333333334
0.0,97.0,3.0,0.0,2000-01,36.0,0.0,Left Side Center(LC),Mid Range,16-24 ft.,01-11-2000,MANU vs. UTA,19.0,"42.982923, -71.446094",shot - 3,20000019,11.483333333333333
3.0,144.0,3.0,0.0,2000-01,34.0,0.0,Center(C),Mid Range,8-16 ft.,01-11-2000,MANU vs. UTA,21.0,"42.982923, -71.446094",shot - 20,20000019,10.133333333333333
-16.0,110.0,3.0,0.0,2000-01,31.0,1.0,Center(C),Goal Line,8-16 ft.,01-11-2000,MANU vs. UTA,23.0,"42.982923, -71.446094",shot - 44,20000019,7.95
-109.0,150.0,3.0,0.0,2000-01,38.0,1.0,Left Side Center(LC),Mid Range,16-24 ft.,01-11-2000,MANU vs. UTA,24.0,"42.982923, -71.446094",shot - 3,20000019,5.783333333333333
-46.0,63.0,3.0,0.0,2000-01,27.0,1.0,Center(C),Goal Line,Less Than 8 ft.,01-11-2000,MANU vs. UTA,25.0,"42.982923, -71.446094",shot - 3,20000019,5.183333333333334
0.0,0.0,3.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,01-11-2000,MANU vs. UTA,26.0,"42.982923, -71.446094",shot - 4,20000019,2.6
0.0,196.0,3.0,0.0,2000-01,40.0,0.0,Center(C),Mid Range,16-24 ft.,01-11-2000,MANU vs. UTA,27.0,"42.982923, -71.446094",shot - 30,20000019,2.066666666666667
-183.0,186.0,3.0,0.0,2000-01,46.0,0.0,Left Side Center(LC),Penalty Spot,24+ ft.,01-11-2000,MANU vs. UTA,28.0,"42.982923, -71.446094",shot - 54,20000019,0.5
85.0,173.0,4.0,0.0,2000-01,39.0,0.0,Right Side Center(RC),Mid Range,16-24 ft.,01-11-2000,MANU vs. UTA,29.0,"42.982923, -71.446094",shot - 3,20000019,8.316666666666666
3.0,87.0,4.0,0.0,2000-01,28.0,0.0,Center(C),Goal Line,8-16 ft.,01-11-2000,MANU vs. UTA,30.0,"42.982923, -71.446094",shot - 42,20000019,6.366666666666666
121.0,4.0,4.0,0.0,2000-01,32.0,1.0,Right Side(R),Mid Range,8-16 ft.,01-11-2000,MANU vs. UTA,31.0,"42.982923, -71.446094",shot - 44,20000019,1.3333333333333333
127.0,34.0,4.0,0.0,2000-01,33.0,0.0,Right Side(R),Mid Range,8-16 ft.,01-11-2000,MANU vs. UTA,32.0,"42.982923, -71.446094",shot - 3,20000019,0.5
91.0,184.0,2.0,0.0,2000-01,40.0,1.0,Right Side Center(RC),Mid Range,16-24 ft.,04-11-2000,MANU @ VAN,39.0,"49.250068, -123.114646",shot - 3,20000047,3.5
-27.0,272.0,2.0,0.0,2000-01,47.0,1.0,Center(C),Penalty Spot,24+ ft.,04-11-2000,MANU @ VAN,40.0,"49.250068, -123.114646",shot - 3,20000047,0.06666666666666667
-176.0,66.0,3.0,0.0,2000-01,38.0,0.0,Left Side(L),Mid Range,16-24 ft.,04-11-2000,MANU @ VAN,41.0,"49.250068, -123.114646",shot - 3,20000047,11.2
7.0,4.0,3.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,04-11-2000,MANU @ VAN,42.0,"49.250068, -123.114646",shot - 39,20000047,10.216666666666667
150.0,133.0,3.0,0.0,2000-01,40.0,1.0,Right Side Center(RC),Mid Range,16-24 ft.,04-11-2000,MANU @ VAN,43.0,"49.250068, -123.114646",shot - 3,20000047,8.983333333333333
49.0,15.0,3.0,0.0,2000-01,25.0,0.0,Center(C),Goal Line,Less Than 8 ft.,04-11-2000,MANU @ VAN,44.0,"49.250068, -123.114646",shot - 3,20000047,8.483333333333333
-4.0,4.0,3.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,04-11-2000,MANU @ VAN,46.0,"49.250068, -123.114646",shot - 39,20000047,3.35
-4.0,0.0,3.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,04-11-2000,MANU @ VAN,47.0,"49.250068, -123.114646",shot - 1,20000047,2.9166666666666665
1.0,9.0,3.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,04-11-2000,MANU @ VAN,48.0,"49.250068, -123.114646",shot - 12,20000047,2.6333333333333333
121.0,120.0,4.0,0.0,2000-01,37.0,1.0,Right Side Center(RC),Mid Range,16-24 ft.,04-11-2000,MANU @ VAN,49.0,"49.250068, -123.114646",shot - 3,20000047,4.916666666666667
1.0,9.0,4.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,04-11-2000,MANU @ VAN,51.0,"49.250068, -123.114646",shot - 39,20000047,1.1333333333333333
-12.0,9.0,4.0,0.0,2000-01,21.0,0.0,Center(C),Goal Area,Less Than 8 ft.,04-11-2000,MANU @ VAN,52.0,"49.250068, -123.114646",shot - 39,20000047,1.1
24.0,70.0,1.0,0.0,2000-01,27.0,0.0,Center(C),Goal Line,Less Than 8 ft.,05-11-2000,MANU vs. LAC,53.0,"42.982923, -71.446094",shot - 25,20000049,10.55
-189.0,-4.0,1.0,0.0,2000-01,38.0,0.0,Left Side(L),Mid Range,16-24 ft.,05-11-2000,MANU vs. LAC,54.0,"42.982923, -71.446094",shot - 3,20000049,10.066666666666666
-155.0,194.0,1.0,0.0,2000-01,44.0,0.0,Left Side Center(LC),Penalty Spot,24+ ft.,05-11-2000,MANU vs. LAC,56.0,"42.982923, -71.446094",shot - 3,20000049,2.55
1.0,228.0,2.0,0.0,2000-01,42.0,1.0,Center(C),Mid Range,16-24 ft.,05-11-2000,MANU vs. LAC,57.0,"42.982923, -71.446094",shot - 37,20000049,11.433333333333334
0.0,0.0,2.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,05-11-2000,MANU vs. LAC,58.0,"42.982923, -71.446094",shot - 4,20000049,8.666666666666666
0.0,0.0,2.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,05-11-2000,MANU vs. LAC,59.0,"42.982923, -71.446094",shot - 1,20000049,4.083333333333333
-33.0,108.0,2.0,0.0,2000-01,31.0,0.0,Center(C),Goal Line,8-16 ft.,05-11-2000,MANU vs. LAC,61.0,"42.982923, -71.446094",shot - 36,20000049,2.033333333333333
0.0,0.0,3.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,05-11-2000,MANU vs. LAC,63.0,"42.982923, -71.446094",shot - 4,20000049,9.533333333333333
0.0,21.0,3.0,0.0,2000-01,25.0,0.0,Center(C),Goal Line,Less Than 8 ft.,05-11-2000,MANU vs. LAC,64.0,"42.982923, -71.446094",shot - 4,20000049,0.6166666666666667
121.0,26.0,3.0,0.0,2000-01,32.0,1.0,Right Side(R),Mid Range,8-16 ft.,05-11-2000,MANU vs. LAC,65.0,"42.982923, -71.446094",shot - 44,20000049,0.016666666666666666
231.0,57.0,1.0,0.0,2000-01,43.0,0.0,Right Side(R),Right Corner,24+ ft.,07-11-2000,MANU @ HOU,68.0,"29.740325, -95.365762",shot - 21,20000058,8.283333333333333
0.0,0.0,1.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,07-11-2000,MANU @ HOU,69.0,"29.740325, -95.365762",shot - 4,20000058,7.883333333333333
0.0,0.0,1.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,07-11-2000,MANU @ HOU,70.0,"29.740325, -95.365762",shot - 1,20000058,7.016666666666667
0.0,0.0,2.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,07-11-2000,MANU @ HOU,73.0,"29.740325, -95.365762",shot - 4,20000058,7.933333333333334
51.0,57.0,2.0,0.0,2000-01,27.0,0.0,Center(C),Goal Line,Less Than 8 ft.,07-11-2000,MANU @ HOU,74.0,"29.740325, -95.365762",shot - 0,20000058,2.6666666666666665
167.0,190.0,2.0,0.0,2000-01,45.0,0.0,Right Side Center(RC),Penalty Spot,24+ ft.,07-11-2000,MANU @ HOU,75.0,"29.740325, -95.365762",shot - 1,20000058,0.16666666666666666
16.0,57.0,3.0,0.0,2000-01,25.0,0.0,Center(C),Goal Line,Less Than 8 ft.,07-11-2000,MANU @ HOU,77.0,"29.740325, -95.365762",shot - 1,20000058,9.166666666666666
-84.0,110.0,3.0,0.0,2000-01,33.0,0.0,Left Side(L),Mid Range,8-16 ft.,07-11-2000,MANU @ HOU,78.0,"29.740325, -95.365762",shot - 36,20000058,7.4
-71.0,42.0,3.0,0.0,2000-01,28.0,0.0,Left Side(L),Goal Line,8-16 ft.,07-11-2000,MANU @ HOU,79.0,"29.740325, -95.365762",shot - 2,20000058,0.016666666666666666
30.0,133.0,4.0,0.0,2000-01,33.0,1.0,Center(C),Goal Line,8-16 ft.,07-11-2000,MANU @ HOU,81.0,"29.740325, -95.365762",shot - 20,20000058,5.016666666666667
1.0,156.0,4.0,0.0,2000-01,35.0,0.0,Center(C),Mid Range,8-16 ft.,07-11-2000,MANU @ HOU,82.0,"29.740325, -95.365762",shot - 3,20000058,0.7666666666666667
132.0,211.0,1.0,0.0,2000-01,44.0,0.0,Right Side Center(RC),Penalty Spot,24+ ft.,08-11-2000,MANU @ SAS,83.0,"29.444994, -98.524120",shot - 15,20000068,11.683333333333334
-8.0,4.0,1.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,08-11-2000,MANU @ SAS,84.0,"29.444994, -98.524120",shot - 12,20000068,10.983333333333333
-29.0,188.0,1.0,0.0,2000-01,39.0,1.0,Center(C),Mid Range,16-24 ft.,08-11-2000,MANU @ SAS,88.0,"29.444994, -98.524120",shot - 10,20000068,5.9
140.0,76.0,1.0,0.0,2000-01,35.0,1.0,Right Side(R),Mid Range,8-16 ft.,08-11-2000,MANU @ SAS,89.0,"29.444994, -98.524120",shot - 3,20000068,2.4
140.0,0.0,1.0,0.0,2000-01,34.0,1.0,Right Side(R),Mid Range,8-16 ft.,08-11-2000,MANU @ SAS,90.0,"29.444994, -98.524120",shot - 15,20000068,1.8
-1.0,156.0,1.0,0.0,2000-01,35.0,1.0,Center(C),Mid Range,8-16 ft.,08-11-2000,MANU @ SAS,91.0,"29.444994, -98.524120",shot - 3,20000068,1.4166666666666667
110.0,76.0,2.0,0.0,2000-01,33.0,0.0,Right Side(R),Mid Range,8-16 ft.,08-11-2000,MANU @ SAS,93.0,"29.444994, -98.524120",shot - 3,20000068,10.95
132.0,87.0,2.0,0.0,2000-01,35.0,0.0,Right Side(R),Mid Range,8-16 ft.,08-11-2000,MANU @ SAS,94.0,"29.444994, -98.524120",shot - 49,20000068,9.616666666666667
-58.0,251.0,2.0,0.0,2000-01,45.0,1.0,Center(C),Penalty Spot,24+ ft.,08-11-2000,MANU @ SAS,96.0,"29.444994, -98.524120",shot - 3,20000068,3.8333333333333335
-193.0,150.0,2.0,0.0,2000-01,44.0,0.0,Left Side Center(LC),Penalty Spot,24+ ft.,08-11-2000,MANU @ SAS,98.0,"29.444994, -98.524120",shot - 51,20000068,1.02
0.0,9.0,3.0,0.0,2000-01,24.0,0.0,Center(C),Goal Line,Less Than 8 ft.,08-11-2000,MANU @ SAS,100.0,"29.444994, -98.524120",shot - 3,20000068,11.433333333333334
24.0,150.0,3.0,0.0,2000-01,35.0,0.0,Center(C),Mid Range,8-16 ft.,08-11-2000,MANU @ SAS,101.0,"29.444994, -98.524120",shot - 0,20000068,9.333333333333334
-1.0,0.0,3.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,08-11-2000,MANU @ SAS,102.0,"29.444994, -98.524120",shot - 1,20000068,7.883333333333333
119.0,133.0,3.0,0.0,2000-01,37.0,1.0,Right Side Center(RC),Mid Range,16-24 ft.,08-11-2000,MANU @ SAS,103.0,"29.444994, -98.524120",shot - 54,20000068,6.666666666666667
119.0,19.0,3.0,0.0,2000-01,32.0,0.0,Right Side(R),Mid Range,8-16 ft.,08-11-2000,MANU @ SAS,105.0,"29.444994, -98.524120",shot - 15,20000068,3.0
-193.0,42.0,3.0,0.0,2000-01,39.0,0.0,Left Side(L),Mid Range,16-24 ft.,08-11-2000,MANU @ SAS,106.0,"29.444994, -98.524120",shot - 3,20000068,0.8
-166.0,55.0,3.0,0.0,2000-01,37.0,0.0,Left Side(L),Mid Range,16-24 ft.,08-11-2000,MANU @ SAS,107.0,"29.444994, -98.524120",shot - 3,20000068,0.35
24.0,116.0,4.0,0.0,2000-01,31.0,0.0,Center(C),Goal Line,8-16 ft.,08-11-2000,MANU @ SAS,108.0,"29.444994, -98.524120",shot - 3,20000068,10.65
-65.0,156.0,4.0,0.0,2000-01,36.0,0.0,Left Side Center(LC),Mid Range,16-24 ft.,08-11-2000,MANU @ SAS,109.0,"29.444994, -98.524120",shot - 3,20000068,7.133333333333334
-166.0,26.0,4.0,0.0,2000-01,36.0,1.0,Left Side(L),Mid Range,16-24 ft.,08-11-2000,MANU @ SAS,110.0,"29.444994, -98.524120",shot - 3,20000068,6.416666666666667
-58.0,76.0,4.0,0.0,2000-01,29.0,0.0,Left Side(L),Goal Line,8-16 ft.,08-11-2000,MANU @ SAS,111.0,"29.444994, -98.524120",shot - 3,20000068,5.233333333333333
-37.0,70.0,4.0,0.0,2000-01,27.0,0.0,Center(C),Goal Line,Less Than 8 ft.,08-11-2000,MANU @ SAS,112.0,"29.444994, -98.524120",shot - 3,20000068,3.6333333333333333
-94.0,188.0,1.0,0.0,2000-01,41.0,0.0,Left Side Center(LC),Mid Range,16-24 ft.,12-11-2000,MANU vs. HOU,114.0,"42.982923, -71.446094",shot - 17,20000098,11.15
0.0,0.0,1.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,12-11-2000,MANU vs. HOU,115.0,"42.982923, -71.446094",shot - 4,20000098,10.283333333333333
0.0,0.0,1.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,12-11-2000,MANU vs. HOU,116.0,"42.982923, -71.446094",shot - 46,20000098,9.383333333333333
0.0,0.0,1.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,12-11-2000,MANU vs. HOU,117.0,"42.982923, -71.446094",shot - 5,20000098,9.35
0.0,0.0,1.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,12-11-2000,MANU vs. HOU,118.0,"42.982923, -71.446094",shot - 1,20000098,3.033333333333333
0.0,0.0,1.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,12-11-2000,MANU vs. HOU,119.0,"42.982923, -71.446094",shot - 4,20000098,0.7333333333333333
85.0,141.0,1.0,0.0,2000-01,36.0,0.0,Right Side Center(RC),Mid Range,16-24 ft.,12-11-2000,MANU vs. HOU,120.0,"42.982923, -71.446094",shot - 3,20000098,0.35
0.0,158.0,2.0,0.0,2000-01,38.0,1.0,Left Side Center(LC),Mid Range,16-24 ft.,12-11-2000,MANU vs. HOU,121.0,"42.982923, -71.446094",shot - 36,20000098,8.833333333333334
0.0,0.0,2.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,12-11-2000,MANU vs. HOU,124.0,"42.982923, -71.446094",shot - 54,20000098,0.5
1.0,276.0,2.0,0.0,2000-01,47.0,1.0,Center(C),Penalty Spot,24+ ft.,12-11-2000,MANU vs. HOU,125.0,"42.982923, -71.446094",shot - 3,20000098,0.06666666666666667
155.0,-8.0,3.0,0.0,2000-01,35.0,1.0,Right Side(R),Mid Range,8-16 ft.,12-11-2000,MANU vs. HOU,127.0,"42.982923, -71.446094",shot - 3,20000098,8.633333333333333
-155.0,13.0,3.0,0.0,2000-01,35.0,1.0,Left Side(L),Mid Range,8-16 ft.,12-11-2000,MANU vs. HOU,128.0,"42.982923, -71.446094",shot - 3,20000098,5.3
-84.0,133.0,3.0,0.0,2000-01,35.0,0.0,Left Side(L),Mid Range,8-16 ft.,12-11-2000,MANU vs. HOU,129.0,"42.982923, -71.446094",shot - 42,20000098,4.566666666666666
-178.0,-8.0,3.0,0.0,2000-01,37.0,0.0,Left Side(L),Mid Range,16-24 ft.,12-11-2000,MANU vs. HOU,130.0,"42.982923, -71.446094",shot - 12,20000098,3.85
16.0,89.0,3.0,0.0,2000-01,29.0,0.0,Center(C),Goal Line,8-16 ft.,12-11-2000,MANU vs. HOU,131.0,"42.982923, -71.446094",shot - 21,20000098,3.6666666666666665
-48.0,106.0,3.0,0.0,2000-01,31.0,1.0,Center(C),Goal Line,8-16 ft.,12-11-2000,MANU vs. HOU,132.0,"42.982923, -71.446094",shot - 3,20000098,3.55
-119.0,133.0,3.0,0.0,2000-01,37.0,0.0,Left Side Center(LC),Mid Range,16-24 ft.,12-11-2000,MANU vs. HOU,135.0,"42.982923, -71.446094",shot - 3,20000098,0.23333333333333334
9.0,40.0,4.0,0.0,2000-01,24.0,0.0,Center(C),Goal Line,Less Than 8 ft.,12-11-2000,MANU vs. HOU,136.0,"42.982923, -71.446094",shot - 3,20000098,10.866666666666667
-84.0,82.0,4.0,0.0,2000-01,31.0,0.0,Left Side(L),Mid Range,8-16 ft.,12-11-2000,MANU vs. HOU,137.0,"42.982923, -71.446094",shot - 3,20000098,6.566666666666666
9.0,59.0,4.0,0.0,2000-01,25.0,0.0,Center(C),Goal Line,Less Than 8 ft.,12-11-2000,MANU vs. HOU,138.0,"42.982923, -71.446094",shot - 17,20000098,4.95
0.0,0.0,4.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,12-11-2000,MANU vs. HOU,139.0,"42.982923, -71.446094",shot - 1,20000098,3.466666666666667
9.0,59.0,4.0,0.0,2000-01,25.0,1.0,Center(C),Goal Line,Less Than 8 ft.,12-11-2000,MANU vs. HOU,140.0,"42.982923, -71.446094",shot - 44,20000098,1.6333333333333333
0.0,0.0,4.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,12-11-2000,MANU vs. HOU,142.0,"42.982923, -71.446094",shot - 5,20000098,1.05
0.0,0.0,1.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,14-11-2000,MANU vs. DEN,143.0,"42.982923, -71.446094",shot - 4,20000108,7.716666666666667
0.0,0.0,1.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,14-11-2000,MANU vs. DEN,145.0,"42.982923, -71.446094",shot - 1,20000108,3.1333333333333333
129.0,-4.0,1.0,0.0,2000-01,32.0,1.0,Right Side(R),Mid Range,8-16 ft.,14-11-2000,MANU vs. DEN,146.0,"42.982923, -71.446094",shot - 3,20000108,2.4166666666666665
-98.0,97.0,1.0,0.0,2000-01,33.0,1.0,Left Side(L),Mid Range,8-16 ft.,14-11-2000,MANU vs. DEN,147.0,"42.982923, -71.446094",shot - 0,20000108,0.8
167.0,78.0,2.0,0.0,2000-01,38.0,0.0,Right Side(R),Mid Range,16-24 ft.,14-11-2000,MANU vs. DEN,148.0,"42.982923, -71.446094",shot - 11,20000108,11.266666666666667
108.0,249.0,2.0,0.0,2000-01,47.0,0.0,Right Side Center(RC),Penalty Spot,24+ ft.,14-11-2000,MANU vs. DEN,149.0,"42.982923, -71.446094",shot - 3,20000108,10.316666666666666
100.0,175.0,2.0,0.0,2000-01,40.0,1.0,Right Side Center(RC),Mid Range,16-24 ft.,14-11-2000,MANU vs. DEN,151.0,"42.982923, -71.446094",shot - 3,20000108,9.116666666666667
0.0,0.0,2.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,14-11-2000,MANU vs. DEN,154.0,"42.982923, -71.446094",shot - 39,20000108,1.9
0.0,0.0,2.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,14-11-2000,MANU vs. DEN,155.0,"42.982923, -71.446094",shot - 4,20000108,37.10666666666667
115.0,169.0,3.0,0.0,2000-01,40.0,0.0,Right Side Center(RC),Mid Range,16-24 ft.,14-11-2000,MANU vs. DEN,157.0,"42.982923, -71.446094",shot - 3,20000108,10.383333333333333
1.0,72.0,3.0,0.0,2000-01,27.0,0.0,Center(C),Goal Line,Less Than 8 ft.,14-11-2000,MANU vs. DEN,158.0,"42.982923, -71.446094",shot - 3,20000108,5.383333333333334
0.0,0.0,3.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,14-11-2000,MANU vs. DEN,160.0,"42.982923, -71.446094",shot - 32,20000108,0.6166666666666667
113.0,230.0,4.0,0.0,2000-01,45.0,1.0,Right Side Center(RC),Penalty Spot,24+ ft.,14-11-2000,MANU vs. DEN,161.0,"42.982923, -71.446094",shot - 3,20000108,113.35666666666667
0.0,0.0,4.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,14-11-2000,MANU vs. DEN,162.0,"42.982923, -71.446094",shot - 4,20000108,10.466666666666667
0.0,0.0,4.0,0.0,2000-01,20.0,1.0,Center(C),Goal Area,Less Than 8 ft.,14-11-2000,MANU vs. DEN,163.0,"42.982923, -71.446094",shot - 12,20000108,10.183333333333334
0.0,0.0,4.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,14-11-2000,MANU vs. DEN,164.0,"42.982923, -71.446094",shot - 39,20000108,5.616666666666667
98.0,194.0,1.0,0.0,2000-01,41.0,1.0,Right Side Center(RC),Mid Range,16-24 ft.,16-11-2000,MANU @ SAC,166.0,"38.567296, -121.456638",shot - 54,20000124,11.7
-117.0,184.0,1.0,0.0,2000-01,41.0,0.0,Left Side Center(LC),Mid Range,16-24 ft.,16-11-2000,MANU @ SAC,167.0,"38.567296, -121.456638",shot - 3,20000124,112.75666666666666
0.0,-2.0,1.0,0.0,2000-01,36.0,0.0,Left Side(L),Mid Range,16-24 ft.,16-11-2000,MANU @ SAC,168.0,"38.567296, -121.456638",shot - 3,20000124,8.883333333333333
70.0,36.0,1.0,0.0,2000-01,27.0,0.0,Center(C),Goal Line,Less Than 8 ft.,16-11-2000,MANU @ SAC,169.0,"38.567296, -121.456638",shot - 3,20000124,8.266666666666667
0.0,0.0,1.0,0.0,2000-01,20.0,0.0,Center(C),Goal Area,Less Than 8 ft.,16-11-2000,MANU @ SAC,170.0,"38.567296, -121.456638",shot - 4,20000124,7.716666666666667
-37.0,42.0,1.0,0.0,2000-01,25.0,1.0,Center(C),Goal Line,Less Than 8 ft.,16-11-2000,MANU @ SAC,171.0,"38.567296, -121.456638",shot - 12,20000124,2.783333333333333
163.0,116.0,1.0,0.0,2000-01,40.0,0.0,Right Side(R),Mid Range,16-24 ft.,16-11-2000,MANU @ SAC,173.0,"38.567296, -121.456638",shot - 2,20000124,1.0833333333333333
113.0,179.0,2.0,0.0,2000-01,41.0,1.0,Right Side Center(RC),Mid Range,16-24 ft.,16-11-2000,MANU @ SAC,174.0,"38.567296, -121.456638",shot - 11,20000124,8.216666666666667
169.0,-2.0,2.0,0.0,2000-01,36.0,1.0,Right Side(R),Mid Range,16-24 ft.,16-11-2000,MANU @ SAC,175.0,"38.567296, -121.456638",shot - 3,20000124,6.45
91.0,156.0,2.0,0.0,2000-01,38.0,0.0,Right Side Center(RC),Mid Range,16-24 ft.,16-11-2000,MANU @ SAC,176.0,"38.567296, -121.456638",shot - 3,20000124,0.8666666666666667
134.0,93.0,2.0,0.0,2000-01,36.0,0.0,Right Side(R),Mid Range,16-24 ft.,16-11-2000,MANU @ SAC,177.0,"38.567296, -121.456638",shot - 3,20000124,0.31666666666666665
47.0,477.0,2.0,0.0,2000-01,67.0,0.0,Mid Ground(MG),Mid Ground Line,Back Court Shot,16-11-2000,MANU @ SAC,178.0,"38.567296, -121.456638",shot - 3,20000124,0.0
11.0,137.0,3.0,0.0,2000-01,33.0,0.0,Center(C),Goal Line,8-16 ft.,16-11-2000,MANU @ SAC,179.0,"38.567296, -121.456638",shot - 3,20000124,8.866666666666667
199.0,13.0,3.0,0.0,2000-01,39.0,0.0,Right Side(R),Mid Range,16-24 ft.,16-11-2000,MANU @ SAC,180.0,"38.567296, -121.456638",shot - 36,20000124,2.9166666666666665
0.0,236.0,3.0,0.0,2000-01,44.0,0.0,Right Side Center(RC),Penalty Spot,24+ ft.,16-11-2000,MANU @ SAC,181.0,"38.567296, -121.456638",shot - 3,20000124,0.016666666666666666
11.0,247.0,4.0,0.0,2000-01,44.0,0.0,Center(C),Penalty Spot,24+ ft.,16-11-2000,MANU @ SAC,183.0,"38.567296, -121.456638",shot - 3,20000124,9.3
